Substance,Sector,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,Agriculture,BIH,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006285713143,0.01571428286,0.02168571034,0.01037142669,0.013199998,0.02938571049,0.02089999723,0.02687142471,0.01712856929,0.02168571137,0.008171427086,0.01037142669,0.01319999846,0.02137142571,0.01885714114,0.01885714097,0.01162857012,0.01539999874,0.0235714268,0.02938571083,0.02341428346,0.01649999803,0.01964285483,0.02181318253,0.02330309129
CO2,Agriculture,BLR,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9085999314,0.9591475559,0.9208570744,0.7904285044,0.698238031,0.6998094426,0.6694285212,0.5535094576,0.3865713923,0.5474332916,0.6164713828,0.5371142705,0.5491094821,0.5195659373,0.5024172932
CO2,Agriculture,BRA,Brazil,1.141014266,1.141014266,1.141014266,1.141014266,1.140176166,1.237395215,1.464728542,1.972980895,1.974971373,2.189209452,2.465623716,1.926466597,1.841033264,1.407528504,2.037514176,1.938828445,2.406171293,2.373328438,2.043328453,1.902528451,2.041180838,2.193452269,2.178995119,2.666714119,3.011276004,2.951876022,3.320009339,3.751628355,3.891642613,4.076861621,5.353071131,4.663161677,4.802390229,6.155180596,5.571709186,5.088285383,5.521109175,7.153142418,6.306509084,6.280004392,6.427718612,8.360628046,7.927909018,8.414789878,8.596080313,7.98002803,9.309665932,9.365818349,9.228213582,9.793142179,11.84946105,12.54801337,12.91307604
CO2,Agriculture,CAN,Canada,0.6170476077,0.6170476077,0.6170476077,0.6170476077,0.6542380813,0.7072999817,0.7190856904,0.8496713905,1.030490427,1.296585652,1.300776122,1.271023736,1.393123718,1.578918931,1.753818913,1.752090337,1.545866536,1.550423678,1.556342724,1.526223674,1.42696178,1.531095101,1.564357004,1.727471273,1.649476028,1.819347439,1.983142668,2.118337893,2.037671245,2.097280754,2.079785517,2.106499808,2.24321408,2.208956943,2.084761711,1.969837899,2.479504522,2.431890253,2.34420454,2.491133088,2.766290206,3.180309199,3.320218688,3.317390135,3.486632962,3.587675825,3.406332978,3.655194854,3.715118661,4.034799556,4.076861441,4.279152689,4.397509416
CO2,Agriculture,CHE,Switzerland and Liechtenstein,0.01361904568,0.01361904568,0.01361904568,0.01361904568,0.004242856371,0.0118380937,0.02451428355,0.03137618737,0.03865713892,0.04379047174,0.04211428161,0.04143332942,0.04578094913,0.05101904362,0.05238094816,0.05295713826,0.05243332885,0.05059999503,0.0513857094,0.05803809039,0.04824285358,0.03457142514,0.03719047305,0.03719047305,0.05499999515,0.03614285343,0.04242856715,0.03614285286,0.03457142457,0.03142856743,0.04242856658,0.03299999572,0.02671428257,0.031428568,0.03771428229,0.05499999686,0.05342856915,0.04085714115,0.03142856914,0.033942856,0.02671428486,0.06809523638,0.05981904763,0.06013333328,0.04609523781,0.05358571403,0.05819523796,0.04897619034,0.01545238081,0.01398571415,0.01335714272,0.01323142845,0.01312582847
CO2,Agriculture,CHL,Chile,0.05562856829,0.05562856829,0.05562856829,0.05562856829,0.04085713966,0.02770952144,0.02781428294,0.0223142828,0.03734761485,0.04630475493,0.05400475513,0.04892380318,0.02535237787,0.05227618345,0.07076665704,0.08737141611,0.1453047401,0.1637428322,0.1800856867,0.1964285412,0.236971397,0.2125094937,0.2362380624,0.2713333002,0.2723809164,0.3457142446,0.3721666251,0.3624761516,0.3876190099,0.3683428126,0.315857094,0.3253904272,0.3320951867,0.3919142243,0.3951618436,0.366666609,0.3656189905,0.3866761308,0.3787142243,0.366142798,0.2910809116,0.2923380539,0.2970523341,0.2976285282,0.3009285288,0.297366624,0.2900856699,0.2916047198,0.3326189982,0.3352380452,0.3617428033,0.3762029854,0.3904750008
CO2,Agriculture,CHN,China,4.638333001,4.638333001,4.638333001,4.638333001,4.173714039,5.684904335,5.73571386,6.832570875,7.825713469,9.804665614,10.81457018,10.34837975,10.85857012,11.94966517,13.2848555,12.40642691,11.92137936,14.41638849,16.39460719,16.5916643,17.79694991,18.21390227,19.0504259,15.80909302,17.88128336,23.6122825,24.63423466,23.24666334,23.79404418,25.44771047,24.12771058,24.6965676,31.12685267,29.2421862,29.97813819,21.11805859,23.5030677,21.48331086,20.46130629,24.60888198,21.37011586,24.60589625,25.31309147,26.50936756,22.58781593,24.82453454,18.24244974,15.19775514,15.37794557,17.131869,16.2805215,14.90725032,13.6824735
CO2,Agriculture,CIV,Côte d’Ivoire,0.004714284857,0.004714284857,0.004714284857,0.004714284857,0.007542855771,0.0076999986,0.007857141429,0.01335714043,0.010999998,0.01147142649,0.01335714043,0.01257142629,0.01147142649,0.008171427086,0.007385712943,0.0043999992,0.004242856371,0.003457142229,0.009742855371,0.01052856951,0.01587142569,0.021999996,0.02357142429,0.02828570914,0.03771427886,0.03928570714,0.05657141943,0.08642856144,0.07542856458,0.04871427915,0.05499999229,0.04179999377,0.08737142001,0.03268570857,0.06914285373,0.05185713801,0.08485714002,0.06285713715,0.03771428,0.06599999258,0.07034761411,0.05515713695,0.0687761832,0.09779523225,0.1159190386,0.08181904026,0.08841903986,0.06610475637,0.05285237573,0.1194285597,0.08276189562,0.0829504667,0.08330992555
CO2,Agriculture,CMR,Cameroon,0.03299999972,0.03299999972,0.03299999972,0.03299999972,0.03299999972,0.03299999972,0.01634285715,0.0455714283,0.05185714259,0.03897142858,0.03991428315,0.05515714107,0.05169999976,0.06694285585,0.05814285687,0.03881428392,0.009428570974,0.02467142855,0.03142856915,0.02702856995,0.02419999903,0.01728571343,0.007542855771,0.01712856969,0.02199999714,0.02199999714,0.026714282,0.02058571169,0.02189523564,0.04541428158,0.02875713912,0.0544761858,0.03247618888,0.02199999783,0.05421428135,0.03781904391,0.02949047491,0.0401761884,0.02419999812,0.04929047474,0.05007618877,0.04976190105,0.04887142552,0.05557618686,0.06118094805,0.07459047083,0.06819999367,0.08323332594,0.06489999518,0.09810951631,0.08160951702,0.08301332626,0.08448379742
CO2,Agriculture,COL,Colombia,0.1620142603,0.1620142603,0.1620142603,0.1620142603,0.1602856898,0.1415856967,0.1890428312,0.1921856902,0.1671999767,0.2099428311,0.2116190219,0.1885714057,0.1964285466,0.1990475947,0.2353999703,0.242838066,0.2811285359,0.3207809115,0.3493809055,0.3702809051,0.4502666074,0.4223999442,0.3686570944,0.3571856689,0.3782951931,0.3703332883,0.3279047242,0.334295198,0.3900809059,0.4156951895,0.4550856629,0.4266951874,0.4300475655,0.4010809003,0.4709047034,0.4829523267,0.4583332805,0.4943713709,0.3591237724,0.490861846,0.4503713752,0.5483237524,0.4861999428,0.5270570825,0.5506285098,0.8511380119,0.7313427832,0.6807951661,0.6250618359,0.5300951749,0.6579046927,0.6423475527,0.6274257909
